ID,Type,Original text,Scene
66,MenuElement,Resume, 
67,MenuElement,Options, 
68,MenuElement,Save, 
69,MenuElement,Load, 
70,MenuElement,Quit, 
71,MenuElement,Options, 
72,MenuElement,Speech volume, 
73,MenuElement,Music volume, 
74,MenuElement,SFX volume, 
75,MenuElement,Language, 
76,MenuElement,Subtitles, 
77,MenuElement,Back, 
78,MenuElement,Save game, 
88,MenuElement,New save, 
79,MenuElement,Back, 
80,MenuElement,Load game, 
81,MenuElement,Back, 
84,MenuElement,Menu, 
89,MenuElement,Container, 
90,MenuElement,Close, 
91,MenuElement,Take all, 
92,MenuElement,Inventory, 
99,MenuElement,Create, 
100,MenuElement,Close, 
101,MenuElement,Ingredients, 
102,MenuElement,Inventory, 
103,MenuElement,Output, 
104,MenuElement,Objectives, 
105,MenuElement,Back, 
106,MenuElement,New Game, 
107,MenuElement,Options, 
108,MenuElement,Quit, 
109,Speech,"Your hair is looking really cool, Blaze. Did you do something different with it?",StartingScene
110,Speech,Yeah! I did! Thanks for noticing!,StartingScene
111,Speech,"This style of hair is kind of a rite of passage for my family, so it's now my time to carry that torch.",StartingScene
112,Speech,"One day I'll have locs so long, they'll reach the floor!",StartingScene
113,Speech,Ooo! I can't wait!,StartingScene
114,Speech,So...learn any new spells recently?,StartingScene
115,Speech,Why do you want to know?,StartingScene
116,Speech,I'm just curious.,StartingScene
117,Speech,"I know your game, V.V.. You're trying to get ahead of me in Conjuration class, but it's not gonna work!",StartingScene
118,Speech,I'm not taking Conjuration this semester. I'm in Evocation for my magic focus requirement.,StartingScene
119,Speech,Hmph. I'm not buying it.,StartingScene
120,Speech,Ugh...,StartingScene
121,Speech,I should get back to stalling until J.J. gets here.,StartingScene
122,Speech,Here's hoping he gets here soon.,StartingScene
123,Speech,( Guh...I should probably leave. This conversation is going nowhere.),StartingScene
124,Speech,"Hey, V.V....",StartingScene
125,Speech,"Yes, Dahlia?",StartingScene
126,Speech,I notice you've been paying extra attention to Ray recently. Do you have a crush on him?,StartingScene
127,Speech,You know you can tell me.,StartingScene
128,Speech,...,StartingScene
